uid,level,vip_type,vip_status,time_after
40960200,3,2,1,-3040004
40960200,3,2,1,-3087894
40960200,3,2,1,-3125337
40960200,3,2,1,-3141148
40960200,3,2,1,-3200430
40960200,3,2,1,-3200443
40960200,3,2,1,-3286734
40960200,3,2,1,-3287073
40960200,3,2,1,-3287080
40960200,3,2,1,-3287499
40960200,3,2,1,-3383422
40960200,3,2,1,-3392995
40960200,3,2,1,-3393092
40960200,3,2,1,-3393277
40960200,3,2,1,-3393330
40960200,3,2,1,-3393355
40960200,3,2,1,-3393380
40960200,3,2,1,-3393465
40960200,3,2,1,-3523517
40960200,3,2,1,-3525361
40960200,3,2,1,-3536368
40960200,3,2,1,-3536403
40960200,3,2,1,-3536651
40960200,3,2,1,-3536715
40960200,3,2,1,-3601763
40960200,3,2,1,-3652945
40960200,3,2,1,-3662812
40960200,3,2,1,-3703573
40960200,3,2,1,-3703591
40960200,3,2,1,-3703618
40960200,3,2,1,-3703637
40960200,3,2,1,-3752214
40960200,3,2,1,-3752269
40960200,3,2,1,-3752356
40960200,3,2,1,-3806454
40960200,3,2,1,-3822660
40960200,3,2,1,-3822705
40960200,3,2,1,-3860909
40960200,3,2,1,-3983616
40960200,3,2,1,-4006478
40960200,3,2,1,-4006850
40960200,3,2,1,-4010494
40960200,3,2,1,-4056463
40960200,3,2,1,-4056498
40960200,3,2,1,-4056801
40960200,3,2,1,-4056836
40960200,3,2,1,-4056946
40960200,3,2,1,-4056970
40960200,3,2,1,-4057009
40960200,3,2,1,-4071801
40960200,3,2,1,-4073593
40960200,3,2,1,-4150216
40960200,3,2,1,-4150224
40960200,3,2,1,-4237683
40960200,3,2,1,-4411007
40960200,3,2,1,-4411008
40960200,3,2,1,-4411049
40960200,3,2,1,-4640080
40960200,3,2,1,-4640118
40960200,3,2,1,-4640135
40960200,3,2,1,-4737112
40960200,3,2,1,-4782796
40960200,3,2,1,-4848838
40960200,3,2,1,-4848855
40960200,3,2,1,-4851505
40960200,3,2,1,-4864398
40960200,3,2,1,-4871353
40960200,3,2,1,-4871539
40960200,3,2,1,-4946031
40960200,3,2,1,-4994212
40960200,3,2,1,-5045361
40960200,3,2,1,-5045435
40960200,3,2,1,-5183141
40960200,3,2,1,-5302903
40960200,3,2,1,-5330491
40960200,3,2,1,-5330693
40960200,3,2,1,-5330841
40960200,3,2,1,-5330870
40960200,3,2,1,-5384016
40960200,3,2,1,-5475584
40960200,3,2,1,-5562140
